Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,6.144516,3.141876,812.095215,331.640381,199.257233,0,-0.55263
3,5.261475,3.548462,812.552246,331.443512,199.24469,0,-0.66559
4,4.779671,3.892456,813.818298,331.471222,199.140305,0,-0.646311
5,5.393929,4.466484,814.629272,331.396637,198.764282,0,-0.72474
6,5.937424,5.179016,815.351685,331.321808,198.371307,0,-0.788532
7,6.573151,5.428802,815.712646,331.182739,198.028076,0,-0.860031
8,6.807281,5.408516,815.981018,331.21228,197.937149,0,-0.936946
9,6.000877,5.220345,816.0354,331.388458,197.884323,0,-0.979212
10,5.716164,5.102531,816.43988,331.548157,198.03479,0,-0.91067
11,5.60231,4.834564,815.712158,331.782806,198.376373,0,-0.929543
12,4.600311,4.103821,815.479309,332.001587,199.114883,0,-0.856598
13,3.37748,3.033981,814.658508,332.273773,200.128998,0,-0.709081
14,3.255455,1.982841,814.049988,332.455261,201.085739,0,-0.690539
15,3.376328,0.948166,813.08313,332.74411,201.945496,0,-0.606499
16,3.589058,0.435226,812.431702,333.02066,202.675995,0,-0.605657
17,3.369926,-0.328148,813.215454,333.326691,203.709717,0,-0.530733
18,3.191086,-0.578613,813.241394,333.629364,204.460098,0,-0.515413
19,2.814087,-0.860893,812.782043,333.985199,204.963974,0,-0.515839
20,2.05545,-0.882294,812.772339,334.335602,205.595535,0,-0.505561
21,1.215103,-1.076096,811.998718,334.818817,206.277863,0,-0.495111
22,0.771736,-1.526344,812.068726,335.167572,207.174698,0,-0.467983
23,0.935471,-2.413086,813.077087,335.407959,208.069641,0,-0.372868
24,0.94278,-2.998085,813.01062,335.674103,208.845398,0,-0.37954
25,1.167419,-3.256828,813.353333,335.754333,209.346451,0,-0.394457
26,1.270966,-3.047638,812.672363,335.96347,209.536713,0,-0.4161
27,0.891335,-2.799225,813.298584,336.017975,209.772781,0,-0.408175
28,1.184555,-2.904625,814.054077,335.972473,209.944016,0,-0.415816
29,1.853394,-2.773491,813.549866,335.955536,210.010544,0,-0.468269
30,2.074471,-2.91317,814.176453,335.799286,210.034607,0,-0.437562
31,2.211487,-2.820236,813.994629,335.774841,210.071243,0,-0.40578
32,2.013901,-2.681366,814.3172,335.703674,209.878281,0,-0.361279
33,2.562149,-2.547424,813.375854,335.554535,209.594604,0,-0.372221
34,2.867592,-2.289833,813.111755,335.282013,209.287582,0,-0.368955
35,3.266006,-1.878952,812.487244,335.174438,208.972183,0,-0.366646
36,3.266457,-1.75058,813.167969,335.05072,208.732452,0,-0.344946
37,3.175575,-1.701271,813.627014,335.049866,208.434601,0,-0.310125
38,3.427841,-1.599762,813.370605,335.001495,207.874451,0,-0.306885
39,3.942589,-1.253929,812.570435,334.974884,207.40358,0,-0.241043
40,4.114647,-1.010818,812.093018,335.100555,206.761642,0,-0.192231
41,3.491722,-0.608452,812.167114,335.341461,205.921555,0,-0.225814
42,3.21714,-0.263062,812.550415,335.548218,205.182877,0,-0.184327
43,3.173462,0.022079,813.241455,335.595886,204.590073,0,-0.159088
44,3.617958,0.05925,813.47937,335.788116,203.952011,0,-0.138526
45,3.515732,0.484733,813.585876,336.001404,203.378494,0,-0.136913
46,3.575836,0.703972,813.965393,336.11615,202.686569,0,-0.040825
47,3.531746,0.934746,813.622009,336.445496,202.167831,0,0.049945
48,3.28688,0.861053,814.807861,336.684174,201.670761,0,0.124044
49,2.736168,1.112106,814.648438,337.138733,201.1819,0,0.190833
50,2.124634,1.420235,814.447449,337.451355,200.585266,0,0.24672
51,1.892471,2.159386,813.881836,337.825043,200.007263,0,0.291475
52,2.286903,2.473289,813.488281,338.097443,199.512619,0,0.388166
53,2.366798,2.958931,812.60199,338.445862,199.041321,0,0.430989
54,1.884422,3.323631,812.709473,338.788849,198.615356,0,0.493354
55,1.103287,3.615059,813.221252,339.13327,198.300903,0,0.553867
56,0.637283,3.652893,814.042358,339.441193,198.061783,0,0.603718
57,0.977715,3.981064,815.348206,339.424408,197.839096,0,0.630905
58,1.289474,4.346428,815.353455,339.460205,197.504822,0,0.601321
59,1.530594,4.480194,814.773926,339.521423,197.208145,0,0.542052
60,1.296074,4.829552,814.24292,339.587311,196.941574,0,0.457603
61,1.199585,4.950249,813.308899,339.660919,196.60408,0,0.417167
62,1.18586,5.15081,812.866211,339.69931,196.325424,0,0.343933
63,1.520569,5.303551,812.953918,339.637024,196.255417,0,0.31847
64,1.297424,5.568588,812.416504,339.6828,196.240906,0,0.272982
65,0.96228,5.519714,812.328125,339.745239,196.316376,0,0.281483
66,1.160683,5.518684,812.771973,339.687317,196.421341,0,0.249059
67,1.01445,5.353256,813.488281,339.683197,196.578552,0,0.254958
68,0.727486,5.256371,813.619324,339.775146,196.830139,0,0.266893
69,0.751106,5.169678,813.425171,339.831268,197.32872,0,0.25913
70,0.960381,4.608849,812.866577,339.866699,197.950577,0,0.246477
71,1.264778,3.85321,812.669678,339.870148,198.45256,0,0.213161
72,1.545006,3.441658,812.783691,339.83606,199.091339,0,0.199244
73,1.423256,3.054672,813.177734,339.941589,199.523376,0,0.219095
74,0.976898,2.694862,813.610046,340.039581,200.329773,0,0.255948
75,1.064636,2.07312,814.263672,340.047455,201.039673,0,0.257363
76,1.149681,1.523254,814.155518,340.115967,201.62941,0,0.181996
77,0.930969,1.319031,814.008545,340.160583,202.117447,0,0.125772
78,0.524185,0.998115,813.098633,340.245453,202.667068,0,0.089141
79,0.465263,0.666466,812.815552,340.159546,203.16214,0,0.051183
80,0.809898,0.655182,812.176941,340.156708,203.345871,0,0.002109
81,1.332619,0.747078,812.793823,340.066864,203.547058,0,-0.041604
82,1.68074,0.699928,812.963684,340.037628,203.771271,0,-0.035822
83,1.302078,0.702621,813.674683,340.035126,204.176834,0,-0.058528
84,1.084785,0.092728,813.435913,340.074402,204.761871,0,-0.094476
