Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,0.0,0.0,0.0,244.000015,222.000015,0,0.0
3,0.0,0.0,0.0,244.000015,222.000015,0,0.0
4,-6.397682,8.467224,59.705082,309.998474,302.223236,0,-0.000659
5,20.234055,32.101234,270.618347,305.361816,297.654724,0,-0.237302
6,73.58419,15.223412,314.522583,298.532257,298.673431,0,-0.621797
7,60.853447,-4.694405,393.763458,288.859802,301.680939,0,0.012393
8,119.247261,-28.970299,497.342224,274.567566,304.55368,0,1.262463
9,127.231178,-45.662041,602.598389,266.472168,305.430847,0,0.320399
10,133.698181,-59.417343,730.382874,262.704285,305.292145,0,0.713252
11,124.763176,-59.22435,820.276855,260.561157,304.644867,0,0.365046
12,118.111557,-61.052132,857.933044,257.101807,304.558044,0,0.134857
13,108.691025,-63.421211,870.803162,251.967102,305.12912,0,-0.167334
14,95.532349,-62.317902,862.352905,246.151428,305.869568,0,-0.423574
15,82.545052,-60.458145,825.108521,239.217041,306.857086,0,-0.575804
16,74.010284,-60.411011,779.977234,230.448395,308.131104,0,-0.664521
17,66.496986,-57.98069,735.770386,220.587952,309.59201,0,-0.541435
18,58.093674,-55.233459,699.054138,210.167694,311.053162,0,-0.376225
19,52.029366,-53.36718,671.04364,199.28392,312.463135,0,-0.2424
20,47.220192,-53.174362,652.20575,188.431641,313.62326,0,-0.149606
21,42.28511,-53.059235,641.11792,178.708969,314.64682,0,0.075567
22,36.502739,-52.86367,642.579407,170.656525,315.312347,0,0.30102
23,30.264198,-53.629883,656.769653,164.196045,315.550659,0,0.554301
24,24.043266,-54.15374,676.345642,158.85231,315.068604,0,0.840834
25,16.49855,-54.529533,696.708618,154.404373,314.149841,0,1.110767
26,7.291267,-56.169991,721.574097,150.723145,313.163269,0,1.284316
27,-1.776955,-57.643654,751.592163,147.735886,311.953003,0,1.497626
28,-15.364372,-58.715302,781.763428,145.300598,310.665161,0,2.007907
29,-28.025612,-60.955154,811.744934,143.302597,309.475647,0,2.355966
30,-40.038101,-63.460541,838.134399,141.459885,308.371857,0,2.539514
31,-53.125763,-67.329178,860.460571,139.668488,307.440552,0,2.419948
32,-67.727325,-72.543739,877.837769,138.0345,306.49527,0,2.004122
33,-84.654106,-76.834755,884.987671,136.013062,305.437256,0,1.357765
34,-102.283783,-76.67173,879.69342,133.804993,303.96225,0,0.853372
35,-121.467049,-71.79998,856.003296,131.370224,302.255676,0,0.64421
36,-140.052017,-64.065887,812.132202,129.160156,300.702911,0,0.50737
37,-155.317276,-53.981201,738.589172,126.959457,299.457031,0,0.196179
38,-157.597397,-40.651123,623.345093,124.160515,298.260223,0,-0.056766
39,-138.12648,-24.442467,468.441193,119.815132,297.377899,0,0.118567
40,-89.333755,-7.480011,289.13031,109.252815,294.422424,0,0.514028
41,-30.392891,-0.127487,158.973907,97.357788,292.21402,0,0.724311
42,-21.693932,-3.292953,60.935154,89.774902,295.491974,0,-0.022699
43,-0.380463,-3.644516,15.882318,78.991852,307.454346,0,0.455938
44,0.0,0.0,0.0,244.000015,222.000015,0,0.0
45,0.0,0.0,0.0,244.000015,222.000015,0,0.0
46,0.0,0.0,0.0,244.000015,222.000015,0,0.0
47,0.0,0.0,0.0,244.000015,222.000015,0,0.0
48,0.0,0.0,0.0,244.000015,222.000015,0,0.0
49,0.0,0.0,0.0,244.000015,222.000015,0,0.0
50,0.0,0.0,0.0,244.000015,222.000015,0,0.0
51,0.0,0.0,0.0,244.000015,222.000015,0,0.0
52,0.0,0.0,0.0,244.000015,222.000015,0,0.0
53,0.0,0.0,0.0,244.000015,222.000015,0,0.0
54,0.0,0.0,0.0,244.000015,222.000015,0,0.0
55,0.0,0.0,0.0,244.000015,222.000015,0,0.0
56,0.0,0.0,0.0,244.000015,222.000015,0,0.0
57,0.0,0.0,0.0,244.000015,222.000015,0,0.0
58,0.0,0.0,0.0,244.000015,222.000015,0,0.0
59,0.0,0.0,0.0,244.000015,222.000015,0,0.0
60,0.0,0.0,0.0,244.000015,222.000015,0,0.0
61,0.0,0.0,0.0,244.000015,222.000015,0,0.0
62,0.0,0.0,0.0,244.000015,222.000015,0,0.0
63,0.0,0.0,0.0,244.000015,222.000015,0,0.0
64,0.0,0.0,0.0,244.000015,222.000015,0,0.0
65,0.0,0.0,0.0,244.000015,222.000015,0,0.0
66,0.0,0.0,0.0,244.000015,222.000015,0,0.0
67,0.0,0.0,0.0,244.000015,222.000015,0,0.0
68,0.0,0.0,0.0,244.000015,222.000015,0,0.0
69,0.0,0.0,0.0,244.000015,222.000015,0,0.0
70,0.0,0.0,0.0,244.000015,222.000015,0,0.0
71,0.0,0.0,0.0,244.000015,222.000015,0,0.0
72,0.0,0.0,0.0,244.000015,222.000015,0,0.0
73,0.0,0.0,0.0,244.000015,222.000015,0,0.0
74,0.0,0.0,0.0,244.000015,222.000015,0,0.0
75,0.0,0.0,0.0,244.000015,222.000015,0,0.0
76,0.0,0.0,0.0,244.000015,222.000015,0,0.0
77,0.0,0.0,0.0,244.000015,222.000015,0,0.0
78,0.0,0.0,0.0,244.000015,222.000015,0,0.0
79,0.0,0.0,0.0,244.000015,222.000015,0,0.0
80,0.0,0.0,0.0,244.000015,222.000015,0,0.0
81,0.0,0.0,0.0,244.000015,222.000015,0,0.0
82,0.0,0.0,0.0,244.000015,222.000015,0,0.0
83,0.0,0.0,0.0,0.0,0.0,0,0.0
