Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,1.29142,33.467125,829.993835,296.342651,183.93512,0,-0.987693
3,0.035812,36.685753,826.875488,298.300262,172.093002,0,-1.124904
4,-1.546318,36.921616,820.727234,300.000153,162.508057,0,-1.360083
5,-1.292213,38.385307,812.616699,301.053894,154.84639,0,-1.200652
6,-2.288696,41.644897,803.789673,301.659058,149.136292,0,-0.607419
7,-3.799622,44.504082,803.21814,302.510162,144.479126,0,-0.063472
8,-4.742188,46.204384,807.017395,303.227936,140.996231,0,0.194246
9,-3.387833,47.101837,807.654053,303.325195,138.702469,0,0.317327
10,-2.013931,46.605667,806.410339,303.254395,137.6633,0,0.357996
11,-1.353432,45.574318,812.079956,303.537079,137.557327,0,0.232848
12,-0.562691,43.563591,815.573486,303.591431,138.011505,0,0.162477
13,0.226501,42.509575,815.010681,303.528564,138.592636,0,0.165512
14,-0.036148,42.129143,808.018188,303.477081,139.359497,0,0.462141
15,-0.678146,40.711739,804.907288,303.61792,141.51413,0,0.605869
16,-0.89473,37.569572,805.600159,304.081543,144.326599,0,0.548663
17,-0.063667,34.253586,807.573242,304.426422,147.586899,0,0.345858
18,0.362595,31.468216,808.297424,304.620392,150.588318,0,0.219272
19,0.501625,28.937889,809.79541,304.865417,153.41275,0,0.198402
20,1.138,26.14138,811.01123,305.071838,156.516205,0,0.199934
21,1.128983,23.384148,812.949158,305.311584,159.783752,0,0.250792
22,0.715149,21.274376,815.11853,305.705322,162.905746,0,0.283048
23,0.483116,19.533279,816.581848,306.166962,165.423904,0,0.292934
24,1.03611,18.460876,816.52002,306.379791,167.466232,0,0.297076
25,0.956688,17.303108,815.161682,306.5383,169.535782,0,0.420594
26,0.890106,15.586906,813.526184,306.67038,171.884659,0,0.519314
27,1.55368,13.418739,813.713501,306.854279,174.656342,0,0.479307
28,1.491867,10.77021,814.266235,307.082397,177.553909,0,0.501665
29,1.1745,8.526489,814.914551,307.374023,180.338211,0,0.557721
30,0.989754,6.941925,815.337524,307.550934,183.067902,0,0.631843
31,1.125732,5.787804,815.623901,307.645721,185.66738900000001,0,0.622312
32,0.829659,4.910545,815.062012,307.840607,188.211304,0,0.621725
33,0.989029,4.153206,816.1226810000001,307.850739,190.392548,0,0.574338
34,1.682945,3.566284,815.206482,307.834351,192.338821,0,0.521787
35,2.238907,2.816734,814.38269,307.803772,194.255173,0,0.458157
36,2.098106,2.018791,813.439331,307.710175,195.923676,0,0.442572
37,2.207428,1.502541,812.276794,307.494385,197.329132,0,0.471357
38,2.979362,1.061348,811.059387,307.398254,198.751266,0,0.377634
39,3.144196,0.656845,810.440918,307.561523,199.876785,0,0.2883
40,2.428146,0.522148,811.895813,307.926208,201.086792,0,0.202733
41,1.839859,0.158912,813.127563,308.324219,202.241241,0,0.185843
42,1.481178,-0.084282,814.908936,308.475098,202.906525,0,0.119409
43,1.342033,-0.121659,813.77417,308.726715,203.335938,0,0.063058
44,1.043633,0.048591,813.4976810000001,309.00473,203.666626,0,0.046717
45,0.843521,0.024391,814.032288,309.337585,203.879715,0,0.017398
46,0.968071,-0.150147,815.692261,309.361298,203.913589,0,0.007749
47,1.134651,0.120376,817.251221,309.29425,204.310028,0,0.001595
48,1.898308,-0.100502,817.050354,309.232635,204.788345,0,0.020496
49,1.408806,-0.582787,816.192627,309.158234,205.17189,0,0.052403
50,0.577278,-1.008499,813.672546,309.203827,205.732834,0,0.158687
51,-0.03109,-1.740845,812.03833,309.113098,206.681168,0,0.269152
52,-0.042038,-2.319756,811.200012,309.198608,207.769974,0,0.262441
53,-0.165535,-2.73745,811.309082,309.28244,208.753815,0,0.26267
54,-0.331306,-2.901482,811.999084,309.508026,209.812073,0,0.212037
55,-0.146309,-3.447502,813.447632,309.616791,210.937759,0,0.172721
56,0.54454,-4.010841,814.583862,309.574127,211.801773,0,0.140688
57,0.977226,-4.76297,814.773193,309.560547,212.951721,0,0.188443
58,1.242859,-5.69928,815.730652,309.682648,214.003021,0,0.23006
59,0.915703,-6.232658,816.337097,309.898163,214.957474,0,0.261952
60,0.596886,-6.518875,816.593018,310.037842,215.514328,0,0.161754
61,0.524162,-6.359055,815.778137,310.112213,215.767746,0,0.171313
62,1.047363,-5.858139,814.332458,310.07196,215.862488,0,0.193202
63,0.971077,-5.396149,813.43335,310.042694,215.897156,0,0.183997
64,0.791885,-5.142715,812.626343,309.989685,215.874908,0,0.123864
65,0.459854,-4.726143,813.442749,310.10083,215.646606,0,0.044687
66,0.388695,-3.936142,813.902344,310.108459,215.246964,0,0.024462
67,0.928284,-3.442329,813.86377,309.958527,214.768082,0,-0.013567
68,1.363846,-2.877586,813.648926,309.879883,214.188568,0,-0.074511
69,1.370743,-2.384338,813.305542,309.812164,213.558182,0,-0.143941
70,1.654129,-2.056358,812.588562,309.710938,213.348984,0,-0.189664
71,1.929604,-2.043068,812.316833,309.609589,213.287643,0,-0.256094
72,2.37075,-1.817734,812.812744,309.585297,213.018097,0,-0.287547
73,2.129654,-1.558563,813.231873,309.679413,212.562836,0,-0.287702
74,1.725945,-1.162613,813.786865,309.754181,212.128586,0,-0.290464
75,1.332222,-0.603386,814.02832,309.859802,211.642502,0,-0.303907
76,1.272873,-0.284325,813.862671,309.91217,211.149094,0,-0.300065
77,1.502632,0.021805,814.231506,309.782593,210.694946,0,-0.324186
78,1.856117,0.364998,813.610107,309.693115,210.25116,0,-0.373068
79,1.865242,0.753113,813.533752,309.678802,209.744537,0,-0.379461
80,2.050095,1.140938,813.902588,309.678131,209.336914,0,-0.343622
81,2.153114,1.550155,814.361572,309.620392,208.954895,0,-0.303468
82,1.78183,1.691795,814.513062,309.614105,208.531921,0,-0.239515
83,1.721771,1.936874,814.475586,309.583191,208.304794,0,-0.206639
84,1.823471,2.240089,814.479919,309.506531,208.074463,0,-0.244867
85,1.731644,2.311989,814.576355,309.549957,207.863266,0,-0.249094
