Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,18.053818,8.06469,95.835976,346.65744,226.207626,0,-1.009414
3,21.94709,39.051254,324.211182,204.915512,275.718079,0,-1.572734
4,41.941864,21.212578,328.485992,197.171844,277.564789,0,-1.6625
5,49.429176,0.216393,370.406677,180.220795,283.585358,0,-0.256225
6,74.53331,-18.441345,432.208221,157.851151,291.85849,0,0.122838
7,89.067299,-26.902405,486.881317,139.82959,297.851288,0,-0.53921
8,99.659935,-34.976326,577.619568,129.634918,300.840057,0,0.16463
9,104.774796,-30.390526,695.657715,136.368713,297.432312,0,-0.30141
10,92.934296,-38.03624,766.279053,131.37561,298.937256,0,-1.566628
11,84.55545,-49.509598,787.740112,116.200287,304.488922,0,-2.365304
12,77.577858,-61.220535,803.880127,108.79763,307.660645,0,-2.326506
13,68.545891,-66.171738,799.877258,106.461967,308.651642,0,-2.112911
14,55.001694,-65.03965,779.160767,103.945473,309.488434,0,-2.010011
15,43.997696,-59.155685,744.868896,100.388565,310.577942,0,-1.667034
16,34.534714,-51.960335,698.673218,94.327515,312.454254,0,-1.384427
17,28.304665,-50.539444,648.152832,86.364143,315.101288,0,-1.440708
18,23.597069,-52.489517,601.795776,77.482216,318.07608,0,-1.544928
19,17.825394,-51.981789,563.016479,67.598083,320.88501,0,-1.689456
20,12.500816,-47.446617,534.923096,58.054501,323.240356,0,-1.627203
21,6.512657,-44.022064,514.541504,48.650227,325.6633,0,-1.666212
22,0.155083,-42.026184,500.399719,40.01511,327.756287,0,-1.715547
23,-6.557365,-39.921768,486.224213,31.318523,329.493561,0,-1.800702
24,-15.027626,-36.279686,476.946472,23.884544,330.837128,0,-1.787501
25,-24.497688,-31.996017,471.313263,17.904245,331.450836,0,-1.69474
26,-34.258713,-28.125305,468.015259,13.095895,331.802368,0,-1.611112
27,-43.528954,-25.713974,467.904907,9.872103,331.494965,0,-1.540691
28,-52.176514,-24.457489,469.272705,7.4294,331.068237,0,-1.382774
29,-60.94886,-24.284103,467.559174,5.377123,330.658966,0,-1.335345
30,-69.535194,-23.062843,461.006836,3.842586,330.072845,0,-1.225988
31,-77.181015,-21.195412,448.494202,2.510393,329.036591,0,-1.025774
32,-82.441277,-20.344368,427.724762,0.969687,327.807159,0,-0.856386
33,-85.760452,-22.138794,400.684113,-0.16076,326.102203,0,-0.806424
34,-87.12812,-25.085556,367.31366,-1.717305,324.381317,0,-0.712646
35,-88.201332,-27.298203,327.622803,-3.049603,322.301727,0,-0.642215
36,-88.012939,-26.28405,281.001587,-4.08361,319.767944,0,-0.420081
37,-83.674622,-23.49707,227.954117,-5.374557,316.637726,0,-0.24934
38,-73.197868,-19.802299,168.724396,-6.064332,313.128632,0,-0.081192
39,-56.795273,-15.108795,108.49881,-6.860918,310.395477,0,-0.145606
40,-34.178673,-9.467751,46.92347,-8.46923,310.452301,0,-0.144942
41,0.0,0.0,0.0,244.000015,222.000015,0,0.0
42,0.0,0.0,0.0,244.000015,222.000015,0,0.0
43,0.0,0.0,0.0,244.000015,222.000015,0,0.0
44,0.0,0.0,0.0,244.000015,222.000015,0,0.0
45,0.0,0.0,0.0,244.000015,222.000015,0,0.0
46,0.0,0.0,0.0,244.000015,222.000015,0,0.0
47,0.0,0.0,0.0,244.000015,222.000015,0,0.0
48,0.0,0.0,0.0,244.000015,222.000015,0,0.0
49,0.0,0.0,0.0,244.000015,222.000015,0,0.0
50,0.0,0.0,0.0,244.000015,222.000015,0,0.0
51,0.0,0.0,0.0,244.000015,222.000015,0,0.0
52,0.0,0.0,0.0,244.000015,222.000015,0,0.0
53,0.0,0.0,0.0,244.000015,222.000015,0,0.0
54,0.0,0.0,0.0,244.000015,222.000015,0,0.0
55,0.0,0.0,0.0,244.000015,222.000015,0,0.0
56,0.0,0.0,0.0,244.000015,222.000015,0,0.0
57,0.0,0.0,0.0,244.000015,222.000015,0,0.0
58,0.0,0.0,0.0,244.000015,222.000015,0,0.0
59,0.0,0.0,0.0,244.000015,222.000015,0,0.0
60,0.0,0.0,0.0,244.000015,222.000015,0,0.0
61,0.0,0.0,0.0,244.000015,222.000015,0,0.0
62,0.0,0.0,0.0,244.000015,222.000015,0,0.0
63,0.0,0.0,0.0,244.000015,222.000015,0,0.0
64,0.0,0.0,0.0,244.000015,222.000015,0,0.0
65,0.0,0.0,0.0,244.000015,222.000015,0,0.0
66,0.0,0.0,0.0,244.000015,222.000015,0,0.0
67,0.0,0.0,0.0,244.000015,222.000015,0,0.0
68,0.0,0.0,0.0,244.000015,222.000015,0,0.0
69,0.0,0.0,0.0,244.000015,222.000015,0,0.0
70,0.0,0.0,0.0,244.000015,222.000015,0,0.0
71,0.0,0.0,0.0,244.000015,222.000015,0,0.0
72,0.0,0.0,0.0,244.000015,222.000015,0,0.0
73,0.0,0.0,0.0,244.000015,222.000015,0,0.0
74,0.0,0.0,0.0,244.000015,222.000015,0,0.0
75,0.0,0.0,0.0,244.000015,222.000015,0,0.0
76,0.0,0.0,0.0,244.000015,222.000015,0,0.0
77,0.0,0.0,0.0,244.000015,222.000015,0,0.0
78,0.0,0.0,0.0,244.000015,222.000015,0,0.0
79,0.0,0.0,0.0,244.000015,222.000015,0,0.0
80,0.0,0.0,0.0,244.000015,222.000015,0,0.0
81,0.0,0.0,0.0,244.000015,222.000015,0,0.0
82,0.0,0.0,0.0,0.0,0.0,0,0.0
