Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,0.0,0.0,0.0,244.000015,222.000015,0,0.0
3,0.0,0.0,0.0,244.000015,222.000015,0,0.0
4,0.0,0.0,0.0,244.000015,222.000015,0,0.0
5,0.0,0.0,0.0,244.000015,222.000015,0,0.0
6,53.000343,-18.537979,357.577332,318.710693,153.572144,0,-0.134014
7,-38.62635,-29.865532,293.52301,326.89444,153.192093,0,-0.08317
8,-65.762665,-11.621361,331.401215,332.140717,152.013748,0,-0.333158
9,-50.379662,-2.785782,409.038666,337.875183,149.809143,0,0.039287
10,-95.504883,26.541527,499.615387,352.017578,144.635757,0,0.995785
11,-96.893715,42.213745,596.035461,359.04184,142.313156,0,0.772707
12,-98.409584,51.697189,710.730225,363.049072,141.346329,0,0.875226
13,-91.266563,52.817154,779.629639,365.140991,141.12056,0,0.538751
14,-85.788345,51.836716,803.397827,367.842712,140.768524,0,0.346585
15,-72.142876,45.567039,811.640625,370.611786,140.518829,0,-0.03748
16,-59.359154,40.138908,789.112427,374.288147,139.717422,0,-0.34835
17,-48.489517,37.17202,743.210388,379.500031,138.088852,0,-0.605852
18,-40.613655,38.75502,695.189148,386.763214,135.627335,0,-0.924893
19,-34.295799,39.791519,657.679871,395.590393,132.666672,0,-1.226853
20,-30.462067,39.888062,631.681396,405.26001,129.436172,0,-1.342617
21,-26.023735,39.73558,619.496582,415.006378,126.382545,0,-1.418885
22,-23.104988,40.874031,616.151855,424.385956,123.392349,0,-1.522665
23,-19.62468,42.634018,621.086792,432.799011,120.655579,0,-1.567045
24,-16.202827,43.926491,632.764832,439.821228,118.726814,0,-1.557027
25,-12.598053,43.659187,644.34082,445.85849,117.366821,0,-1.428055
26,-6.863853,42.403175,651.831848,450.843658,116.450096,0,-1.328485
27,1.418129,41.906281,659.783264,454.964294,116.050018,0,-1.254111
28,10.680801,42.655663,669.973877,458.854584,115.873222,0,-1.219916
29,20.377205,44.422318,680.426758,462.418488,115.835297,0,-1.311464
30,31.76358,46.797325,689.958374,465.783844,116.011642,0,-1.397877
31,43.349304,48.72966,699.303284,464.525909,116.563293,0,-1.159165
32,56.03157,49.00341,708.808594,462.304077,117.398201,0,-0.901883
33,69.360794,46.804649,716.53717,460.725067,118.641777,0,-0.622473
34,82.621666,43.507042,718.35199,460.954895,120.177841,0,-0.513819
35,96.646896,40.010399,711.861389,463.76416,121.988014,0,-0.483797
36,110.521355,38.648354,693.973999,470.266144,123.805847,0,-0.703352
37,123.017395,37.5373,665.149841,480.860199,125.768509,0,-1.117421
38,134.172012,35.154282,623.509888,483.447235,127.828255,0,-1.158492
39,143.387878,31.183167,566.768494,484.950714,129.661453,0,-1.051518
40,145.331223,27.270836,482.008392,486.400757,130.973007,0,-1.410464
41,134.453476,17.18679,359.60202,487.95977800000003,132.165115,0,-1.289885
42,105.175644,4.983505,206.769562,488.296204,133.017929,0,-0.994851
43,53.756493,-4.671646,48.633614,484.163452,133.631744,0,-0.397644
44,0.0,0.0,0.0,244.000015,222.000015,0,0.0
45,0.0,0.0,0.0,244.000015,222.000015,0,0.0
46,0.0,0.0,0.0,244.000015,222.000015,0,0.0
47,0.0,0.0,0.0,244.000015,222.000015,0,0.0
48,0.0,0.0,0.0,244.000015,222.000015,0,0.0
49,0.0,0.0,0.0,244.000015,222.000015,0,0.0
50,0.0,0.0,0.0,244.000015,222.000015,0,0.0
51,0.0,0.0,0.0,244.000015,222.000015,0,0.0
52,0.0,0.0,0.0,244.000015,222.000015,0,0.0
53,0.0,0.0,0.0,244.000015,222.000015,0,0.0
54,0.0,0.0,0.0,244.000015,222.000015,0,0.0
55,0.0,0.0,0.0,244.000015,222.000015,0,0.0
56,0.0,0.0,0.0,244.000015,222.000015,0,0.0
57,0.0,0.0,0.0,244.000015,222.000015,0,0.0
58,0.0,0.0,0.0,244.000015,222.000015,0,0.0
59,0.0,0.0,0.0,244.000015,222.000015,0,0.0
60,0.0,0.0,0.0,244.000015,222.000015,0,0.0
61,0.0,0.0,0.0,244.000015,222.000015,0,0.0
62,0.0,0.0,0.0,244.000015,222.000015,0,0.0
63,0.0,0.0,0.0,244.000015,222.000015,0,0.0
64,0.0,0.0,0.0,244.000015,222.000015,0,0.0
65,0.0,0.0,0.0,244.000015,222.000015,0,0.0
66,0.0,0.0,0.0,244.000015,222.000015,0,0.0
67,0.0,0.0,0.0,244.000015,222.000015,0,0.0
68,0.0,0.0,0.0,244.000015,222.000015,0,0.0
69,0.0,0.0,0.0,244.000015,222.000015,0,0.0
70,0.0,0.0,0.0,244.000015,222.000015,0,0.0
71,0.0,0.0,0.0,244.000015,222.000015,0,0.0
72,0.0,0.0,0.0,244.000015,222.000015,0,0.0
73,0.0,0.0,0.0,244.000015,222.000015,0,0.0
74,0.0,0.0,0.0,244.000015,222.000015,0,0.0
75,0.0,0.0,0.0,0.0,0.0,0,0.0
