Frame#,L.FX,L.FY,L.FZ,L.X,L.Y,L.Z,L.MFree
1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,2.689362,1.254326,757.030701,325.798859,204.288513,0,0.579744
3,2.457001,1.059402,757.251953,326.336792,204.482452,0,0.546444
4,2.055412,1.143082,758.241699,327.008057,204.53334,0,0.492218
5,0.904053,0.892181,757.981079,328.137085,204.593735,0,0.409031
6,0.37941,0.780495,756.994202,328.895844,204.710266,0,0.369191
7,0.491859,0.834015,757.220581,329.349945,204.58017,0,0.366695
8,-0.16935,1.110657,756.78894,330.215027,204.112183,0,0.320515
9,-0.464218,1.500618,756.665894,330.728088,203.685272,0,0.216474
10,-0.519302,1.922577,756.490662,331.052185,203.448044,0,0.117144
11,-0.748093,1.891006,756.453674,331.245483,203.25029,0,0.146952
12,-1.325294,1.809296,757.099487,331.125458,202.812195,0,0.083589
13,-0.935585,2.329025,757.205505,330.957336,201.957504,0,-0.011108
14,0.099739,3.219421,757.569763,330.659882,201.297211,0,-0.039745
15,0.833969,3.909569,757.799561,330.350159,200.763519,0,-0.063715
16,1.039642,3.865685,758.0758060000001,330.069946,200.429077,0,-0.073306
17,0.876877,3.687759,759.07019,329.672119,200.27948,0,-0.088381
18,0.548973,3.537262,758.722168,329.495178,199.964767,0,-0.126363
19,0.931198,3.924385,757.469116,329.272247,199.610352,0,-0.121098
20,1.280319,4.379616,756.437988,329.102814,199.364243,0,-0.125659
21,1.406059,4.542076,756.845215,328.933441,199.213013,0,-0.107194
22,1.476418,4.486137,757.345093,328.8125,198.966034,0,-0.118213
23,1.085243,4.602242,757.623413,328.943024,198.798691,0,-0.096891
24,0.689423,4.786461,757.089722,329.059723,198.769806,0,-0.055083
25,0.414192,4.656593,757.088013,329.205933,198.966644,0,-0.026332
26,0.430038,4.284035,757.713257,329.181183,199.149017,0,0.017099
27,0.396393,4.099579,757.352356,329.294403,199.21376,0,0.003113
28,0.301308,4.190582,756.946655,329.292023,199.292557,0,-0.009287
29,0.673752,4.456261,757.792969,329.266632,199.469772,0,0.085446
30,0.659569,4.534714,757.156738,329.326355,199.750534,0,0.093399
31,0.313301,4.182152,757.154663,329.32135,200.032227,0,0.157351
32,-0.229805,3.861641,757.060974,329.335693,200.410889,0,0.155175
33,-0.355598,3.531342,757.277222,329.258606,200.784363,0,0.128573
34,-0.147278,3.224556,757.442749,329.101257,201.261597,0,0.132809
35,-0.009987,2.844368,757.831177,328.76828,201.856293,0,0.157077
36,-0.0578,2.31646,757.187927,328.694305,202.427948,0,0.131821
37,-0.15361,1.972885,756.863037,328.476501,202.864807,0,0.096402
38,0.279243,1.727524,755.997925,328.17981,203.114319,0,0.047198
39,1.105591,1.483177,755.7146,327.691345,203.310089,0,0.020958
40,1.467171,1.419846,755.480957,327.170929,203.518372,0,0.016237
41,1.280045,1.156746,755.925537,326.837006,203.782715,0,-0.008568
42,0.616493,1.041168,756.24176,326.508759,204.003784,0,-0.014136
43,0.655853,1.183182,756.595337,326.00589,204.201523,0,-0.042004
44,1.492126,1.088211,756.809692,325.327362,204.275909,0,-0.034159
45,2.390968,0.992554,757.78479,324.702362,204.423615,0,-0.052901
46,3.275826,0.830078,757.862976,324.165924,204.503265,0,-0.087021
47,3.08593,0.671051,757.948303,323.798248,204.751251,0,-0.120793
48,2.612579,0.662529,757.051208,323.454285,204.925003,0,-0.096935
49,2.665413,0.714821,756.864014,323.219543,205.205215,0,-0.075116
50,3.007942,0.536484,757.080261,322.792633,205.411911,0,-0.063267
51,3.557503,0.602829,756.887451,322.46286,205.691467,0,-0.066722
52,3.874298,0.668014,756.518555,322.119354,205.930542,0,-0.068507
